"Subject_ID","Condition_number","Radial_frequency","Amplitude","Order","Condition_repeat_number","MousePos_X","MousePos_Y","TargetClicked","ClickTime","TargetPos_X","TargetPos_Y","TargetID","Condition_name","RelativeClickPos_X","RelativeClickPos_Y"
"Exp2B_S6",13,20,0.5,18,2,-9.27384703523346,-10.5061825646902,"T4",6.59784639999998,-9.14387814006118,-10.294231693211,"T4","RF20A10",-0.129968895172283,-0.211950871479111
"Exp2B_S6",9,20,0.25,19,2,-4.03119927432445,8.08328559152105,"T2",1.43833250000012,-2.8814010522426,-13.2633865988023,"T4","RF20A5",-1.14979822208186,21.3466721903234
"Exp2B_S6",9,20,0.25,19,2,4.42805308889525,6.39143511887711,"T3",2.43028570000001,-2.8814010522426,-13.2633865988023,"T4","RF20A5",7.30945414113785,19.6548217176795
"Exp2B_S6",9,20,0.25,19,2,-2.40200993029695,-12.469564594672,"T4",3.84622669999999,-2.8814010522426,-13.2633865988023,"T4","RF20A5",0.479391121945644,0.793822004130334
"Exp2B_S6",9,20,0.25,19,2,-14.0987539386995,-1.6291893440275,"T5",6.43013840000003,-2.8814010522426,-13.2633865988023,"T4","RF20A5",-11.2173528864569,11.6341972547748
"Exp2B_S6",9,20,0.25,19,2,-13.597464909768,12.3651293803113,"T1",7.79827599999999,-2.8814010522426,-13.2633865988023,"T4","RF20A5",-10.7160638575254,25.6285159791136
"Exp2B_S6",5,20,0.1,20,2,10.7150529934116,12.5739998090328,"T1",1.64620760000003,-10.225166058193,-10.6136121267206,"T4","RF20A2",20.9402190516046,23.1876119357533
"Exp2B_S6",5,20,0.1,20,2,-10.2137639644801,-10.4017473503294,"T4",17.9498179,-10.225166058193,-10.6136121267206,"T4","RF20A2",0.0114020937128689,0.211864776391167
"Exp2B_S6",5,20,0.1,20,2,13.7645612527452,0.668385371908718,"T5",37.2134248,-10.225166058193,-10.6136121267206,"T4","RF20A2",23.9897273109381,11.2819974986293
"Exp2B_S6",5,20,0.1,20,2,-5.57684044686336,11.8220662656354,"T3",50.2851438,-10.225166058193,-10.6136121267206,"T4","RF20A2",4.6483256113296,22.435678392356
"Exp2B_S6",7,10,0.25,21,2,-8.27126897737038,-3.38370094528788,"T2",1.19127570000001,-3.26766738799013,-9.541123466183,"T4","RF10A5",-5.00360158938025,6.15742252089511
"Exp2B_S6",7,10,0.25,21,2,-0.522176071803686,2.88241191635635,"T3",2.11139890000004,-3.26766738799013,-9.541123466183,"T4","RF10A5",2.74549131618645,12.4235353825393
"Exp2B_S6",7,10,0.25,21,2,-3.15394347369426,-9.52449154969923,"T4",27.5989147,-3.26766738799013,-9.541123466183,"T4","RF10A5",0.113723914295872,0.0166319164837674
"Exp2B_S6",7,10,0.25,21,2,13.5556908240237,10.5270696075623,"T1",68.6783664,-3.26766738799013,-9.541123466183,"T4","RF10A5",16.8233582120138,20.0681930737453
"Exp2B_S6",10,8,0.5,22,2,-4.82490690346606,6.45409624749356,"T4",1.54463709999982,-4.91521358517745,7.08721127685387,"T4","RF8A10",0.0903066817113949,-0.63311502936032
"Exp2B_S6",10,8,0.5,22,2,-3.98942518858016,-0.835481714885897,"T5",2.16079119999995,-4.91521358517745,7.08721127685387,"T4","RF8A10",0.925788396597292,-7.92269299173977
"Exp2B_S6",10,8,0.5,22,2,-6.97627231929724,-7.51933543397307,"T3",3.40890790000003,-4.91521358517745,7.08721127685387,"T4","RF8A10",-2.06105873411979,-14.6065467108269
"Exp2B_S6",10,8,0.5,22,2,13.9943187243388,15.163993125179,"T1",7.83270349999975,-4.91521358517745,7.08721127685387,"T4","RF8A10",18.9095323095162,8.07678184832516
"Exp2B_S6",3,10,0.1,23,2,-9.775136064165,-3.59257137400936,"T1",2.4021017,3.63022652294678,0.594768380010457,"T4","RF10A2",-13.4053625871118,-4.18733975401982
"Exp2B_S6",3,10,0.1,23,2,6.9136111906808,14.3911725389096,"T3",3.75420929999973,3.63022652294678,0.594768380010457,"T4","RF10A2",3.28338466773402,13.7964041588991
"Exp2B_S6",3,10,0.1,23,2,7.87441516279958,-14.7880263534804,"T5",5.00211940000008,3.63022652294678,0.594768380010457,"T4","RF10A2",4.2441886398528,-15.3827947334908
"Exp2B_S6",4,14,0.1,24,2,-7.39401317674019,-6.66296667621503,"T2",1.31463970000004,-14.3615773549488,-2.11179936770366,"T4","RF14A2",6.96756417820864,-4.55116730851137
"Exp2B_S6",4,14,0.1,24,2,-13.889883509978,-1.85894681562112,"T4",2.47502359999999,-14.3615773549488,-2.11179936770366,"T4","RF14A2",0.47169384497079,0.252852552082536
"Exp2B_S6",4,14,0.1,24,2,6.99715936216939,5.76482383271269,"T5",3.55475750000005,-14.3615773549488,-2.11179936770366,"T4","RF14A2",21.3587367171182,7.87662320041635
"Exp2B_S6",4,14,0.1,24,2,8.98142843502339,-4.99200324644324,"T3",27.5544485,-14.3615773549488,-2.11179936770366,"T4","RF14A2",23.3430057899722,-2.88020387873958
"Exp2B_S6",4,14,0.1,24,2,-11.5714217511697,10.8612622935167,"T1",43.1701653,-14.3615773549488,-2.11179936770366,"T4","RF14A2",2.79015560377916,12.9730616612203
"Exp2B_S6",12,14,0.5,25,2,-3.86410293134727,15.7488303255992,"T2",1.15969939999968,0.648988275522218,1.85964234998585,"T4","RF14A10",-4.51309120686949,13.8891879756133
"Exp2B_S6",12,14,0.5,25,2,1.31588370094529,2.23491358731977,"T4",1.79969029999984,0.648988275522218,1.85964234998585,"T4","RF14A10",0.66689542542307,0.37527123733392
"Exp2B_S6",12,14,0.5,25,2,-6.0781294757949,-7.99973742003246,"T1",2.5594116999996,0.648988275522218,1.85964234998585,"T4","RF14A10",-6.72711775131712,-9.85937977001832
"Exp2B_S6",12,14,0.5,25,2,-5.57684044686336,-15.1848801680512,"T3",3.11161659999971,0.648988275522218,1.85964234998585,"T4","RF14A10",-6.22582872238558,-17.044522518037
"Exp2B_S6",12,14,0.5,25,2,11.4043254081925,-8.87699322066266,"T5",3.85539599999993,0.648988275522218,1.85964234998585,"T4","RF14A10",10.7553371326703,-10.7366355706485
"Exp2B_S6",1,0,0,26,2,-1.06523918647952,-7.58199656258952,"T3",1.50379770000018,-8.90428390865347,5.26428538723737,"T4","RF0A0",7.83904472217395,-12.8462819498269
"Exp2B_S6",1,0,0,26,2,11.4460994939368,-0.125322257232885,"T5",2.19972159999998,-8.90428390865347,5.26428538723737,"T4","RF0A0",20.3503834025903,-5.38960764447025
"Exp2B_S6",1,0,0,26,2,14.9551226964576,7.85352811992743,"T1",2.799442,-8.90428390865347,5.26428538723737,"T4","RF0A0",23.859406605111,2.58924273269006
"Exp2B_S6",1,0,0,26,2,-8.75167096342977,5.59772748973551,"T4",4.83140920000005,-8.90428390865347,5.26428538723737,"T4","RF0A0",0.152612945223696,0.333442102498143
"Exp2B_S6",1,0,0,26,2,0.208870428721474,6.64207963334288,"T2",5.75956040000028,-8.90428390865347,5.26428538723737,"T4","RF0A0",9.11315433737494,1.37779424610551
"Exp2B_S6",1,0,0,1,1,-13.0961758808364,-1.48298004392247,"T2",2.18153479999998,-12.8305558320181,-13.6967203704908,"T5","RF0A0",-0.265620048818342,12.2137403265683
"Exp2B_S6",1,0,0,1,1,-13.2006110951972,-13.7854482956173,"T5",3.18160939999999,-12.8305558320181,-13.6967203704908,"T5","RF0A0",-0.370055263179079,-0.0887279251265447
"Exp2B_S6",1,0,0,1,1,-2.38112288742481,-11.5923087940418,"T1",4.14937859999998,-12.8305558320181,-13.6967203704908,"T5","RF0A0",10.4494329445933,2.10441157644894
"Exp2B_S6",1,0,0,1,1,-2.8197507877399,0,"T3",5.46130969999999,-12.8305558320181,-13.6967203704908,"T5","RF0A0",10.0108050442782,13.6967203704908
"Exp2B_S6",1,0,0,1,1,3.36281390241574,11.049245679366,"T4",6.73353479999997,-12.8305558320181,-13.6967203704908,"T5","RF0A0",16.1933697344338,24.7459660498567
"Exp2B_S6",3,10,0.1,2,1,-8.06239854864891,1.04435214360737,"T3",3.49582469999999,11.1610848802833,-14.6967676474261,"T5","RF10A2",-19.2234834289322,15.7411197910335
"Exp2B_S6",3,10,0.1,2,1,11.2581161080875,11.7802921798912,"T4",4.66368559999998,11.1610848802833,-14.6967676474261,"T5","RF10A2",0.0970312278041856,26.4770598273173
"Exp2B_S6",3,10,0.1,2,1,-8.16683376300965,14.6418170533753,"T2",60.1270706,11.1610848802833,-14.6967676474261,"T5","RF10A2",-19.3279186432929,29.3385847008015
"Exp2B_S6",3,10,0.1,2,1,5.32619593239759,-16.6469731691015,"miss",123.0941905,11.1610848802833,-14.6967676474261,"T5","RF10A2",-5.83488894788569,-1.95020552167538
"Exp2B_S6",13,20,0.5,3,1,-14.2240761959324,-3.82232884560298,"T4",3.33649780000002,-8.82753437745493,11.8077464028671,"T5","RF20A10",-5.39654181847747,-15.6300752484701
"Exp2B_S6",13,20,0.5,3,1,-9.08586364938413,11.8638403513797,"T5",5.42773360000001,-8.82753437745493,11.8077464028671,"T5","RF20A10",-0.258329271929201,0.0560939485126575
"Exp2B_S6",13,20,0.5,3,1,2.04693020147045,12.0100496514848,"T2",7.04462080000002,-8.82753437745493,11.8077464028671,"T5","RF20A10",10.8744645789254,0.202303248617691
"Exp2B_S6",13,20,0.5,3,1,8.22949489162609,3.92676405996372,"T3",7.87252160000003,-8.82753437745493,11.8077464028671,"T5","RF20A10",17.057029269081,-7.88098234290337
"Exp2B_S6",13,20,0.5,3,1,12.3024682516948,-15.8114914542156,"T1",9.97650470000002,-8.82753437745493,11.8077464028671,"T5","RF20A10",21.1300026291498,-27.6192378570827
"Exp2B_S6",4,14,0.1,4,1,-10.4226343932016,-11.2163420223432,"T4",2.12035580000003,-9.28699693785153,11.0448887141297,"T5","RF14A2",-1.13563745535003,-22.2612307364728
"Exp2B_S6",4,14,0.1,4,1,16.1247970972978,-14.161415067316,"T2",3.14446560000005,-9.28699693785153,11.0448887141297,"T5","RF14A2",25.4117940351493,-25.2063037814456
"Exp2B_S6",4,14,0.1,4,1,-9.3365081638499,11.3834383653203,"T5",5.19244540000005,-9.28699693785153,11.0448887141297,"T5","RF14A2",-0.0495112259983674,0.33854965119068
"Exp2B_S6",4,14,0.1,4,1,-13.597464909768,-4.13563448868519,"T1",7.72040830000003,-9.28699693785153,11.0448887141297,"T5","RF14A2",-4.31046797191644,-15.1805232028149
"Exp2B_S6",4,14,0.1,4,1,14.4329466246539,-3.86410293134727,"T3",9.4564373,-9.28699693785153,11.0448887141297,"T5","RF14A2",23.7199435625054,-14.9089916454769
"Exp2B_S6",11,10,0.5,5,1,-1.33677074381744,9.25295999236131,"T1",1.19714600000003,9.783654354288,9.0936708317566,"T5","RF10A10",-11.1204250981054,0.159289160604715
"Exp2B_S6",11,10,0.5,5,1,-1.77539864413253,-14.5582688818868,"T2",2.19714249999998,9.783654354288,9.0936708317566,"T5","RF10A10",-11.5590529984205,-23.6519397136434
"Exp2B_S6",11,10,0.5,5,1,-5.53506636111907,-4.32361787453452,"T4",3.9250917,9.783654354288,9.0936708317566,"T5","RF10A10",-15.3187207154071,-13.4172887062911
