"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp2A_S18","RF5A10",5,0.5,9.5,12,14.83093347
"Exp2A_S18","RF8A10",8,0.5,13.67,13,17.15496576
"Exp2A_S19","RF0A0",0,0,7.22,1,4.8317861899999
"Exp2A_S19","RF3A2",3,0.1,6.72,2,6.71973608999992
"Exp2A_S19","RF4A2",4,0.1,6.83,3,14.11381857
"Exp2A_S19","RF5A2",5,0.1,6.97,4,10.5454438799999
"Exp2A_S19","RF8A2",8,0.1,7.52,5,7.79383551999985
"Exp2A_S19","RF3A5",3,0.25,6.53,6,23.6743368000001
"Exp2A_S19","RF4A5",4,0.25,7.04,7,78.57413854
"Exp2A_S19","RF5A5",5,0.25,7.64,8,36.5272930500001
"Exp2A_S19","RF8A5",8,0.25,9.72,9,22.02289279
"Exp2A_S19","RF3A10",3,0.5,6.99,10,72.5565625599999
"Exp2A_S19","RF4A10",4,0.5,8.2,11,19.84811902
"Exp2A_S19","RF5A10",5,0.5,9.5,12,66.00848987
"Exp2A_S19","RF8A10",8,0.5,13.67,13,14.40082071
"Exp2A_S20","RF0A0",0,0,7.22,1,6.48705212999996
"Exp2A_S20","RF3A2",3,0.1,6.72,2,8.13742051999996
"Exp2A_S20","RF4A2",4,0.1,6.83,3,13.6271134099999
"Exp2A_S20","RF5A2",5,0.1,6.97,4,15.0973088
"Exp2A_S20","RF8A2",8,0.1,7.52,5,22.4318064399999
"Exp2A_S20","RF3A5",3,0.25,6.53,6,19.90168098
"Exp2A_S20","RF4A5",4,0.25,7.04,7,4.97424480000001
"Exp2A_S20","RF5A5",5,0.25,7.64,8,11.7588945699999
"Exp2A_S20","RF8A5",8,0.25,9.72,9,32.98709257
"Exp2A_S20","RF3A10",3,0.5,6.99,10,13.2374415899999
"Exp2A_S20","RF4A10",4,0.5,8.2,11,22.72629626
"Exp2A_S20","RF5A10",5,0.5,9.5,12,8.16013867999994
"Exp2A_S20","RF8A10",8,0.5,13.67,13,32.62248276
"Exp2A_S21","RF0A0",0,0,7.22,1,30.2799374399998
"Exp2A_S21","RF3A2",3,0.1,6.72,2,8.59959707000001
"Exp2A_S21","RF4A2",4,0.1,6.83,3,32.24196736
"Exp2A_S21","RF5A2",5,0.1,6.97,4,3.79905093000004
"Exp2A_S21","RF8A2",8,0.1,7.52,5,31.24174538
"Exp2A_S21","RF3A5",3,0.25,6.53,6,7.23206835999998
"Exp2A_S21","RF4A5",4,0.25,7.04,7,34.283761
"Exp2A_S21","RF5A5",5,0.25,7.64,8,13.07830851
"Exp2A_S21","RF8A5",8,0.25,9.72,9,28.72780383
"Exp2A_S21","RF3A10",3,0.5,6.99,10,10.6928030200001
"Exp2A_S21","RF4A10",4,0.5,8.2,11,40.9204934600001
"Exp2A_S21","RF5A10",5,0.5,9.5,12,28.6214314799999
"Exp2A_S21","RF8A10",8,0.5,13.67,13,6.83412318000005
"Exp2A_S23","RF0A0",0,0,7.22,1,4.74741555000005
"Exp2A_S23","RF3A2",3,0.1,6.72,2,5.83123861
"Exp2A_S23","RF4A2",4,0.1,6.83,3,11.2082694300001
"Exp2A_S23","RF5A2",5,0.1,6.97,4,69.59664077
"Exp2A_S23","RF8A2",8,0.1,7.52,5,5.45091334999995
"Exp2A_S23","RF3A5",3,0.25,6.53,6,8.03214295999996
"Exp2A_S23","RF4A5",4,0.25,7.04,7,71.22540846
"Exp2A_S23","RF5A5",5,0.25,7.64,8,12.21892121
"Exp2A_S23","RF8A5",8,0.25,9.72,9,8.95584351000001
"Exp2A_S23","RF3A10",3,0.5,6.99,10,13.52307698
"Exp2A_S23","RF4A10",4,0.5,8.2,11,9.77924929999998
"Exp2A_S23","RF5A10",5,0.5,9.5,12,22.16740899
"Exp2A_S23","RF8A10",8,0.5,13.67,13,6.21730365999997
