"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1B_S12","RF8A10",10,8,0.5,20.4,2,21,1,6.3209765,1,-1.681819352,14.92285927
"Exp1B_S12","RF8A2",2,8,0.1,8.27,2,22,1,3.017609,1,-2.715346594,15.67899527
"Exp1B_S12","RF8A5",6,8,0.25,12.16,2,23,1,5.9393258,1,-6.701374662,-12.23249518
"Exp1B_S12","RF10A10",11,10,0.5,24.73,2,24,1,2.309483,1,8.504917105,4.148431264
"Exp1B_S12","RF10A2",3,10,0.1,8.79,2,25,1,10.9568622,1,6.809156674,12.68638556
"Exp1B_S12","RF14A10",12,14,0.5,33.57,2,26,1,3.0469828,1,-11.80512455,-10.70698018
"Exp1B_S12","RF8A5",6,8,0.25,12.16,1,1,2,4.7033545,1,-4.849642335,3.094789477
"Exp1B_S12","RF0A0",1,0,0,7.22,1,2,2,4.5148618,1,-15.19754603,10.1922785
"Exp1B_S12","RF20A10",13,20,0.5,47.08,1,3,2,6.1727461,1,14.07800716,-9.259989904
"Exp1B_S12","RF8A10",10,8,0.5,20.4,1,4,2,3.8515512,1,-0.561818283,-7.270307127
"Exp1B_S12","RF10A5",7,10,0.25,14.08,1,5,2,8.4246059,1,-10.72729074,13.34521196
"Exp1B_S12","RF14A10",12,14,0.5,33.57,1,6,2,5.8903439,1,4.869942466,-11.43552246
"Exp1B_S12","RF20A5",9,20,0.25,24.63,1,7,2,6.8428067,1,14.68860032,-15.75747814
"Exp1B_S12","RF20A2",5,20,0.1,12.12,1,8,2,9.8793884,1,11.00168168,-1.284368561
"Exp1B_S12","RF10A10",11,10,0.5,24.73,1,9,2,10.2430161,1,6.610390478,-9.036625455
"Exp1B_S12","RF14A2",4,14,0.1,10.01,1,10,2,15.6965242,1,-11.66450692,-4.321343683
"Exp1B_S12","RF8A2",2,8,0.1,8.27,1,11,2,19.5555712,1,10.34634907,-8.360592208
"Exp1B_S12","RF14A5",8,14,0.25,18.18,1,12,2,11.3578109,1,0.204209808,-4.055505193
"Exp1B_S12","RF10A2",3,10,0.1,8.79,1,13,2,10.7612794,1,-1.062664598,4.065833539
"Exp1B_S12","RF10A5",7,10,0.25,14.08,2,14,2,17.354159,1,7.535769441,-10.87941103
"Exp1B_S12","RF20A2",5,20,0.1,12.12,2,15,2,25.0914119,1,-15.83522869,11.49540202
"Exp1B_S12","RF14A5",8,14,0.25,18.18,2,16,2,15.5357182,1,-12.78570855,-14.10191109
"Exp1B_S12","RF14A2",4,14,0.1,10.01,2,17,2,12.7302972,1,8.399659184,15.51083226
"Exp1B_S12","RF20A5",9,20,0.25,24.63,2,18,2,12.34721,1,-15.85148189,-10.88078482
"Exp1B_S12","RF0A0",1,0,0,7.22,2,19,2,11.8233496,1,10.23804301,4.55614482
"Exp1B_S12","RF20A10",13,20,0.5,47.08,2,20,2,5.7341617,1,10.38584727,-8.804182167
"Exp1B_S12","RF8A10",10,8,0.5,20.4,2,21,2,8.4811351,1,3.219563414,-15.77079204
"Exp1B_S12","RF8A2",2,8,0.1,8.27,2,22,2,5.5854915,1,14.04004585,13.73813994
"Exp1B_S12","RF8A5",6,8,0.25,12.16,2,23,2,17.4433914,1,14.73082758,-13.95321651
"Exp1B_S12","RF10A10",11,10,0.5,24.73,2,24,2,5.037547,1,-12.39068518,15.03818217
"Exp1B_S12","RF10A2",3,10,0.1,8.79,2,25,2,14.5247877,1,9.919248477,-7.578989951
"Exp1B_S12","RF14A10",12,14,0.5,33.57,2,26,2,4.2310736,1,-14.00789157,0.306019984
"Exp1B_S12","RF8A5",6,8,0.25,12.16,1,1,3,5.8313418,1,15.52483937,-1.188455096
"Exp1B_S12","RF0A0",1,0,0,7.22,1,2,3,6.7868731,1,-7.255064071,-3.329883443
"Exp1B_S12","RF20A10",13,20,0.5,47.08,1,3,3,7.468913,1,13.35078032,10.77089184
