"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored"
"Exp2_S22","RF3A10",10,3,0.5,6.99,2,18,2,9.10716720000005,1
"Exp2_S22","RF4A5",7,4,0.25,7.04,2,19,2,2.86738220000007,1
"Exp2_S22","RF8A10",13,8,0.5,13.67,2,20,2,2.406432,1
"Exp2_S22","RF5A2",4,5,0.1,6.97,2,21,2,1.89895090000005,1
"Exp2_S22","RF5A10",12,5,0.5,9.5,2,22,2,1.81608540000002,1
"Exp2_S22","RF3A2",2,3,0.1,6.72,2,23,2,1.58026799999993,1
"Exp2_S22","RF3A5",6,3,0.25,6.53,2,24,2,2.95031719999997,1
"Exp2_S22","RF4A2",3,4,0.1,6.83,2,25,2,3.31987079999999,1
"Exp2_S22","RF8A5",9,8,0.25,9.72,2,26,2,1.6215909,1
"Exp2_S22","RF5A10",12,5,0.5,9.5,1,1,3,4.3032687,1
"Exp2_S22","RF4A5",7,4,0.25,7.04,1,2,3,6.8527923,1
"Exp2_S22","RF5A2",4,5,0.1,6.97,1,3,3,3.09850849999998,1
"Exp2_S22","RF5A5",8,5,0.25,7.64,1,4,3,36.5586618,1
"Exp2_S22","RF4A10",11,4,0.5,8.2,1,5,3,19.8357757,1
"Exp2_S22","RF4A2",3,4,0.1,6.83,1,6,3,10.4336723,1
"Exp2_S22","RF3A5",6,3,0.25,6.53,1,7,3,2.63957419999997,1
"Exp2_S22","RF8A10",13,8,0.5,13.67,1,8,3,6.72210700000005,1
"Exp2_S22","RF3A2",2,3,0.1,6.72,1,9,3,5.38514569999995,1
"Exp2_S22","RF0A0",1,0,0,7.22,1,10,3,7.95695569999998,1
"Exp2_S22","RF3A10",10,3,0.5,6.99,1,11,3,2.67638209999984,1
"Exp2_S22","RF8A5",9,8,0.25,9.72,1,12,3,24.6268941999999,1
"Exp2_S22","RF8A2",5,8,0.1,7.52,1,13,3,7.28355860000011,1
"Exp2_S22","RF8A2",5,8,0.1,7.52,2,14,3,54.4932647999999,1
